Year,Month,Day,Hour,Minute,Temperature,GHI
2018,1,7,20,0,17.7,0
2018,1,7,21,0,17.3,0
2018,1,7,22,0,17,0
2018,1,7,23,0,16.8,0
2018,1,8,0,0,16.6,0
2018,1,8,1,0,17.7,0
2018,1,8,2,0,20.8,119
2018,1,8,3,0,23.8,339
2018,1,8,4,0,26,551
2018,1,8,5,0,27.8,722
2018,1,8,6,0,29.2,819
2018,1,8,7,0,30.1,852
2018,1,8,8,0,30.6,809
2018,1,8,9,0,30.5,687
2018,1,8,10,0,29.6,511
2018,1,8,11,0,27.6,296
2018,1,8,12,0,23.9,84
2018,1,8,13,0,22.7,0
2018,1,8,14,0,22.3,0
2018,1,8,15,0,21.7,0
2018,1,8,16,0,20.9,0
2018,1,8,17,0,20.4,0
2018,1,8,18,0,19.9,0
2018,1,8,19,0,19.1,0
2018,1,8,20,0,18.7,0
2018,1,8,21,0,18.4,0
2018,1,8,22,0,18.1,0
2018,1,8,23,0,17.9,0
2018,1,9,0,0,17.8,0
2018,1,9,1,0,18.8,0
2018,1,9,2,0,21.6,125
2018,1,9,3,0,24.9,257
2018,1,9,4,0,26.7,475
2018,1,9,5,0,28.2,533
2018,1,9,6,0,29,725
2018,1,9,7,0,29.6,818
2018,1,9,8,0,30.1,776
2018,1,9,9,0,30.1,599
2018,1,9,10,0,29.3,298
2018,1,9,11,0,27.8,254
2018,1,9,12,0,25.4,86
2018,1,9,13,0,24.3,0
2018,1,9,14,0,23.7,0
2018,1,9,15,0,23.3,0
2018,1,9,16,0,23,0
2018,1,9,17,0,22.7,0
2018,1,9,18,0,22.5,0
2018,1,9,19,0,22.3,0
2018,1,9,20,0,22.1,0
2018,1,9,21,0,21.9,0
2018,1,9,22,0,21.7,0
2018,1,9,23,0,21.5,0
2018,1,10,0,0,21.4,0
2018,1,10,1,0,21.7,0
2018,1,10,2,0,22.8,135
2018,1,10,3,0,24.5,28
2018,1,10,4,0,26.9,213
2018,1,10,5,0,28.9,244
2018,1,10,6,0,30.1,732
2018,1,10,7,0,30.9,858
2018,1,10,8,0,31.2,821
2018,1,10,9,0,30.8,327
2018,1,10,10,0,29.9,480
2018,1,10,11,0,28.3,319
2018,1,10,12,0,26.2,96
2018,1,10,13,0,25,0
2018,1,10,14,0,24.2,0
2018,1,10,15,0,23.6,0
2018,1,10,16,0,23,0
2018,1,10,17,0,22.7,0
2018,1,10,18,0,22.5,0
2018,1,10,19,0,22.4,0
2018,1,10,20,0,22.3,0
2018,1,10,21,0,22.2,0
2018,1,10,22,0,22,0
2018,1,10,23,0,21.9,0
2018,1,11,0,0,21.7,0
2018,1,11,1,0,22.4,0
2018,1,11,2,0,23.9,123
2018,1,11,3,0,26.2,305
2018,1,11,4,0,28.5,469
2018,1,11,5,0,30.3,677
2018,1,11,6,0,31.5,561
2018,1,11,7,0,32.3,372
2018,1,11,8,0,32.6,820
2018,1,11,9,0,32.4,573
2018,1,11,10,0,31.6,541
2018,1,11,11,0,30,324
2018,1,11,12,0,27.3,102
2018,1,11,13,0,25.9,0
2018,1,11,14,0,25,0
2018,1,11,15,0,24.3,0
2018,1,11,16,0,23.7,0
2018,1,11,17,0,23.2,0
2018,1,11,18,0,22.9,0
2018,1,11,19,0,22.7,0
2018,1,11,20,0,22.3,0
2018,1,11,21,0,22.1,0
2018,1,11,22,0,22,0
2018,1,11,23,0,21.8,0
2018,1,12,0,0,21.8,0
2018,1,12,1,0,22.7,0
2018,1,12,2,0,24.7,115
2018,1,12,3,0,26.6,297
2018,1,12,4,0,28.2,375
2018,1,12,5,0,29.5,372
2018,1,12,6,0,30.2,716
2018,1,12,7,0,30,850
2018,1,12,8,0,29.2,377
2018,1,12,9,0,28.6,469
2018,1,12,10,0,28.2,409
2018,1,12,11,0,27.5,264
2018,1,12,12,0,25.9,6
2018,1,12,13,0,25.1,0
2018,1,12,14,0,24.5,0
2018,1,12,15,0,23.9,0
2018,1,12,16,0,23.4,0
2018,1,12,17,0,22.8,0
2018,1,12,18,0,22.2,0
2018,1,12,19,0,21.7,0
2018,1,12,20,0,21.4,0
2018,1,12,21,0,21.2,0
2018,1,12,22,0,21.1,0
2018,1,12,23,0,21,0
2018,1,13,0,0,21,0
2018,1,13,1,0,21.8,0
2018,1,13,2,0,24.1,121
2018,1,13,3,0,26.1,289
2018,1,13,4,0,27.6,337
2018,1,13,5,0,28.9,688
2018,1,13,6,0,30.2,804
2018,1,13,7,0,31.3,617
2018,1,13,8,0,31.8,644
2018,1,13,9,0,31.6,556
2018,1,13,10,0,30.8,383
2018,1,13,11,0,29.3,281
2018,1,13,12,0,26.2,112
2018,1,13,13,0,24.5,0
2018,1,13,14,0,23.3,0
2018,1,13,15,0,22.2,0
2018,1,13,16,0,21.2,0
2018,1,13,17,0,20.5,0
2018,1,13,18,0,20.2,0
2018,1,13,19,0,19.9,0
2018,1,13,20,0,19.6,0
2018,1,13,21,0,19.3,0
2018,1,13,22,0,19,0
2018,1,13,23,0,18.7,0
2018,1,14,0,0,18.5,0
2018,1,14,1,0,19.8,0
2018,1,14,2,0,22.8,143
2018,1,14,3,0,25.4,385
2018,1,14,4,0,28,611
2018,1,14,5,0,30,786
2018,1,14,6,0,31.4,896
2018,1,14,7,0,32.3,930
2018,1,14,8,0,32.7,888
2018,1,14,9,0,32.6,764
2018,1,14,10,0,31.8,581
2018,1,14,11,0,29.8,352
2018,1,14,12,0,25.9,116
2018,1,14,13,0,24.3,0
2018,1,14,14,0,23.3,0
2018,1,14,15,0,22.5,0
2018,1,14,16,0,21.6,0
2018,1,14,17,0,20.6,0
2018,1,14,18,0,20.1,0
2018,1,14,19,0,19.8,0
2018,1,14,20,0,19.9,0
2018,1,14,21,0,20,0
2018,1,14,22,0,20.2,0
2018,1,14,23,0,20.2,0
2018,1,15,0,0,20.1,0
2018,1,15,1,0,20.9,0
2018,1,15,2,0,23.2,123
2018,1,15,3,0,25.5,353
2018,1,15,4,0,27.8,580
2018,1,15,5,0,29.8,762
2018,1,15,6,0,31.4,865
2018,1,15,7,0,32.5,895
2018,1,15,8,0,32.9,850
2018,1,15,9,0,32.7,735
2018,1,15,10,0,31.8,551
2018,1,15,11,0,30,329
2018,1,15,12,0,26.3,102
2018,1,15,13,0,24.6,0
2018,1,15,14,0,23.4,0
2018,1,15,15,0,22.3,0
2018,1,15,16,0,21.5,0
2018,1,15,17,0,20.8,0
2018,1,15,18,0,20.4,0
2018,1,15,19,0,20.2,0
2018,1,15,20,0,20,0
2018,1,15,21,0,19.8,0
2018,1,15,22,0,19.7,0
2018,1,15,23,0,19.6,0
2018,1,16,0,0,19.5,0
2018,1,16,1,0,20.4,0
2018,1,16,2,0,23.1,111
2018,1,16,3,0,25.7,331
2018,1,16,4,0,28.1,488
2018,1,16,5,0,30.2,718
2018,1,16,6,0,31.6,821
2018,1,16,7,0,32.4,809
2018,1,16,8,0,32.5,761
2018,1,16,9,0,32.2,656
2018,1,16,10,0,31.2,493
2018,1,16,11,0,29.6,304
2018,1,16,12,0,26.8,85
2018,1,16,13,0,25.7,0
